threshold,precision,recall
0.007029,0.06053671728728937,1.0
0.00703,0.060549313358302125,1.0
0.007031,0.06057452123230641,1.0
0.007033,0.060587133041848845,1.0
0.007034,0.06059975010412328,1.0
0.007035,0.060625,1.0
0.007036,0.06068821689259645,1.0
0.007037,0.06073888541014402,1.0
0.00704,0.060751565762004175,1.0
0.007041,0.06080234015879649,1.0
0.007043,0.060827759197324416,1.0
0.007045,0.06085319949811794,1.0
0.007046,0.06086592763020288,1.0
0.007047,0.06089139987445072,1.0
0.00705,0.060904143993302635,1.0
0.007051,0.06094240837696335,1.0
0.007052,0.06098072087175189,1.0
0.007054,0.060993502410396146,1.0
0.007055,0.06103187919463087,1.0
0.007056,0.06112161310649023,1.0
0.007057,0.06114729985291027,1.0
0.007058,0.0611730081984444,1.0
0.007061,0.061198738170347,1.0
0.007063,0.061224489795918366,1.0
0.007065,0.06126315789473684,1.0
0.007066,0.06127605811749842,1.0
0.007067,0.061288963774220724,1.0
0.007068,0.0613018748683379,1.0
0.007069,0.06131479140328698,1.0
0.00707,0.061366512020244623,1.0
0.007072,0.061379455811010335,1.0
0.007073,0.06143128562381254,1.0
0.007074,0.06144425675675676,1.0
0.007075,0.061457233368532205,1.0
0.007077,0.0614702154626109,1.0
0.007079,0.06148320304246778,1.0
0.00708,0.061509194673430564,1.0
0.007082,0.06156124391791834,1.0
0.007085,0.061574269995768094,1.0
0.007086,0.06160033869602032,1.0
0.007088,0.061613381325428755,1.0
0.007089,0.06166560712015257,1.0
0.00709,0.06167867740568037,1.0
0.007091,0.06170483460559797,1.0
0.007093,0.06171792152704136,1.0
0.007094,0.0617572156196944,1.0
0.007095,0.06179655977914632,1.0
0.007097,0.06183595410114747,1.0
0.007099,0.06184909670563231,1.0
0.0071,0.061875398681692534,1.0
0.007101,0.06191489361702128,1.0
0.007104,0.06194125159642401,1.0
0.007107,0.06196763202725724,1.0
0.007108,0.061980830670926516,1.0
0.00711,0.062020460358056265,1.0
0.007111,0.06203368151780004,1.0
0.007113,0.06204690831556503,1.0
0.007114,0.062060140754958415,1.0
0.007116,0.062086622573074464,1.0
0.007117,0.06212638770281811,1.0
0.007118,0.06216620380260628,1.0
0.007122,0.06217948717948718,1.0
0.007124,0.06220607097050022,1.0
0.007127,0.062219371391917896,1.0
0.007129,0.062245989304812836,1.0
0.00713,0.06227263000213995,1.0
0.007131,0.06228595890410959,1.0
0.007132,0.062312633832976444,1.0
0.007134,0.06232597986720925,1.0
0.007136,0.062339331619537273,1.0
0.007137,0.06236605229318474,1.0
0.007138,0.06239279588336192,1.0
0.007139,0.06241956241956242,1.0
0.007141,0.062459755312298776,1.0
0.007147,0.06247316444826106,1.0
0.00715,0.0625,1.0
0.007152,0.06252685861624409,1.0
0.007153,0.06254029658284978,1.0
0.007154,0.06259410625941063,1.0
0.007155,0.06264800861141012,1.0
0.007158,0.06266149870801034,1.0
0.007159,0.06267499461555029,1.0
0.00716,0.06268849633778543,1.0
0.007165,0.06270200387847447,1.0
0.007169,0.06274256144890039,1.0
0.00717,0.06276962899050906,1.0
0.007174,0.06279671989641779,1.0
0.007177,0.06283740012956165,1.0
0.007178,0.06286454957874271,1.0
0.007179,0.06289172249837909,1.0
0.007181,0.06291891891891892,1.0
0.007182,0.0629733823847652,1.0
0.007184,0.06300064949123187,1.0
0.007185,0.06302794022092267,1.0
0.007186,0.06305525460455037,1.0
0.007189,0.06306892067620286,1.0
0.007192,0.063082592672881,1.0
0.007194,0.06309627059843885,1.0
0.007196,0.0631099544567339,1.0
0.007197,0.06312364425162689,1.0
0.0072,0.063137339986982,1.0
0.007203,0.06316474929455176,1.0
0.007207,0.06319218241042346,1.0
0.007209,0.06321963936563112,1.0
0.00721,0.06324712019126277,1.0
0.007212,0.06327462491846053,1.0
0.007213,0.06331592689295039,1.0
0.007214,0.06334349151066608,1.0
0.007217,0.06337108013937283,1.0
0.007218,0.06342632955536182,1.0
0.007219,0.06344015696533682,1.0
0.007224,0.06346782988004362,1.0
0.007228,0.06348167539267016,1.0
0.007229,0.06349552694741435,1.0
0.007233,0.06350938454823221,1.0
0.007237,0.06353711790393013,1.0
0.007239,0.063564875491481,1.0
0.007243,0.06357876338212803,1.0
0.007246,0.06359265734265734,1.0
0.00725,0.06362046348928728,1.0
0.007254,0.0636482939632546,1.0
0.007258,0.06367614879649891,1.0
0.007265,0.06369008535784636,1.0
0.007267,0.06371797679001533,1.0
0.007271,0.06374589266155531,1.0
0.007272,0.06377383300460224,1.0
0.007275,0.06378781236299869,1.0
0.00729,0.06381578947368421,1.0
0.007291,0.06382978723404255,1.0
0.007295,0.06387181738366988,1.0
0.007302,0.06389986824769434,1.0
0.007307,0.06392794376098418,1.0
0.007321,0.06395604395604396,1.0
0.007342,0.06398416886543536,1.0
0.007348,0.06401231852177738,1.0
0.007351,0.06402640264026403,1.0
0.007364,0.06404049295774648,1.0
0.007365,0.0640545894783183,1.0
0.007369,0.06406869220607662,1.0
0.007372,0.06408280114512221,1.0
0.007374,0.06409691629955948,1.0
0.007379,0.06411103767349637,1.0
0.007381,0.06412516527104452,1.0
0.007384,0.06416758544652701,1.0
0.007388,0.06418173797970887,1.0
0.007392,0.0641958967571145,1.0
0.007394,0.06421006178287732,1.0
0.007395,0.06422423306113441,1.0
0.007399,0.06423841059602649,1.0
0.007403,0.06425259439169795,1.0
0.007407,0.06426678445229682,1.0
0.007408,0.06428098078197482,1.0
0.007409,0.06429518338488732,1.0
0.007414,0.06430939226519337,1.0
0.007418,0.06433782887464072,1.0
0.007424,0.06436629064366291,1.0
0.007431,0.06438053097345132,1.0
0.007432,0.06440903054448871,1.0
0.007433,0.06442328979411113,1.0
0.007438,0.06443755535872453,1.0
0.007441,0.06445182724252492,1.0
0.007443,0.06446610544971201,1.0
0.007444,0.06448038998448925,1.0
0.007446,0.06449468085106383,1.0
0.007447,0.06455190771960959,1.0
0.007448,0.06456623030840915,1.0
0.007449,0.06458055925432757,1.0
0.007452,0.06459489456159823,1.0
0.007456,0.06460923623445826,1.0
