term,index
0x02050000,150
0x02090000,151
0x03000000,152
0x03010000,153
0x03090000,154
0x04000000,155
0x04010000,156
0x100000,157
0x100002,158
0x100011e9,159
0x100012b2,160
0x10001483,161
0x1002055d,162
0x100205d5,163
0x10020679,164
0x10020694,165
0x10020b69,166
0x10020b6b,167
0x10020b70,168
0x10020d68,169
0x10020d85,170
0x10020dee,171
0x10021599,172
0x1002176a,173
0x100600,174
0x100604,175
0x100700,176
0x10070d,177
0x100b00,178
0x100b01,179
0x110700,180
0x110a00,181
0x110a02,182
0x130104,183
0x130106,184
0x3cbe,185
0x3cc2,186
0x5a11,187
0x5a24,188
0x5ae5,189
0x5dde,190
0x7c,191
0及之前的版本中,192
0版本的libdns中存在安全漏洞,193
10,194
100,195
1000318,196
10016,197
1001916,198
1004,199
101,200
102,201
103,202
1038,203
104,204
1049088,205
105,206
106,207
107,208
108,209
109,210
11,211
110,212
110809,213
111,214
111111,215
112,216
1122,217
112681f1a538,218
113,219
114,220
115,221
116,222
117,223
1172,224
118,225
119,226
1194,227
11df88f2a661fda8f11a87e5ee1fac45,228
12,229
120,230
121,231
12141,232
122,233
123,234
123456,235
1235,236
124,237
125,238
125662231d12,239
125z,240
126,241
1264256,242
1264258,243
126dee12d5a88a15,244
127,245
128,246
129,247
12t00,248
13,249
130,250
130a8bbc5c4d760eb2e8e27fd3460c4b,251
131,252
132,253
1327979229805578773,254
133,255
134,256
135,257
136,258
137,259
138,260
139,261
14,262
140,263
14080000,264
140e0000,265
140f0000,266
141,267
14140000,268
142,269
143,270
144,271
1440000,272
145,273
14572,274
146,275
147,276
148,277
149,278
14ac7cb7a223,279
14ec794f8261fc4a,280
15,281
150,282
15040000,283
151,284
152,285
153,286
154,287
155,288
15550,289
15554,290
156,291
157,292
158,293
1582f469f21b367132bdd127005eee99,294
158c810cb47d,295
159,296
15e148,297
16,298
160,299
16010000,300
16030000,301
16040000,302
16050000,303
1607,304
16070000,305
16090000,306
160b0000,307
160e0000,308
161,309
16100000,310
16160000,311
161f0000,312
162,313
16210000,314
16220000,315
163,316
164,317
165,318
166,319
167,320
168,321
169,322
17,323
170,324
17008,325
171,326
1714045747132,327
1714046964789,328
172,329
173,330
1731569800,331
1732170520,332
1732170527,333
1732636761,334
1732636821,335
1732636851,336
1732636868,337
1732636875,338
1732636881,339
1732636912,340
1732636951,341
1732636958,342
1732636972,343
1732637002,344
1732637008,345
1732637032,346
1732637062,347
1732637081,348
1732637083,349
1732637122,350
1732637152,351
1732637184,352
1732637271,353
1732637422,354
1732637432,355
1732637440,356
1732637513,357
1732637542,358
1732637562,359
1732637572,360
1732637694,361
1732637755,362
1732637812,363
1732637873,364
1732637903,365
1732637933,366
1732637993,367
1732638114,368
1732638204,369
1732638234,370
1732638294,371
1732638354,372
1732638384,373
1732638414,374
1732638445,375
1732638475,376
1732638593,377
1732638653,378
1732638773,379
1732638804,380
1732638924,381
1732638984,382
1732639014,383
1732639105,384
1732639135,385
1732639225,386
1732639255,387
1732639345,388
1732639373,389
1732639383,390
1732639464,391
1732639495,392
1732639554,393
1732639584,394
1732639614,395
1732639734,396
